Unnamed: ,Age,City,Profession,Marital Status,Education,No. of Family members,Annual Income,Would you prefer replacing all your vehicles to Electronic vehicles?,If Yes/Maybe what type of EV would you prefer?,Do you think Electronic Vehicles are economical?,Which brand of vehicle do you currently own?,How much money could you spend on an Electronic vehicle?,Preference for wheels in EV,Do you think Electronic vehicles will replace fuel cars in India?
0,30,Nabha,None,Single,Graduate,5,1193875.647,Maybe,SUV,Yes,Hyundai,<5 lakhs,2,I don't think so
1,27,Pune,None,Single,Graduate,4,1844540.398,Yes,SUV,Yes,Honda,<15 lakhs,4,"Yes, in <20years"
2,32,Kashipur,None,Single,Graduate,4,2948150.113,Yes,Hatchback,Yes,KIA,<15 lakhs,4,"Yes, in <20years"
3,55,Pune,Business,Single,Graduate,3,2832379.739,Maybe,Hatchback,No,Hyundai,<5 lakhs,4,"Yes, in <10 years"
4,26,Satara,None,Single,Graduate,4,2638750.576,Yes,Sedan,Yes,McLaren,<15 lakhs,4,"Yes, in <20years"
5,28,Pune,Working Professional,Single,Graduate,5,2945694.197,Maybe,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <10 years"
6,23,Pune,Working Professional,Married,Graduate,3,2686745.166,Yes,Sedan,Yes,KIA,<15 lakhs,2,"Yes, in <10 years"
7,25,Pune,None,Married,Post Graduate,4,2034627.333,Yes,Sedan,Yes,MG,<5 lakhs,4,"Yes, in <10 years"
8,43,Noida,None,Single,Graduate,2,2040275.103,Yes,SUV,Yes,Volkswagen,<15 lakhs,2,"Yes, in <20years"
9,27,Pune,Working Professional,Single,Graduate,4,562871.5932,Yes,Sedan,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
10,26,Delhi,Working Professional,Single,Graduate,3,2457487.692,Yes,Liftback,Yes,Tata,<15 lakhs,4,"Yes, in <10 years"
11,59,Pune,None,Married,Graduate,4,2131352.898,Maybe,SUV,Yes,Honda,<5 lakhs,4,"Yes, in <20years"
